Name	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
P036	0.1157	-1.5141	0.8576	-0.9522	0.1603	0.7121	-1.0691	-1.0926	0.2633	1.2141	1.9192	-1.0278	0.5038	-0.129	-0.0349	0.1324
P037	-0.8393	-1.8365	0.1017	-0.6185	-0.9518	0.7403	0.079	-1.0926	1.2318	0.9213	0.7683	-0.8309	1.0091	0.0616	1.1264	0.1594
P038	-0.3491	-1.6805	0.2683	-1.0385	1.4708	0.515	0.048	-0.0362	-0.0583	-0.0934	-0.9314	-1.5077	0.3432	0.588	2.1832	0.3377
P039	0.1173	-2.0744	0.0124	-1.305	-0.1224	0.7667	-0.1884	-0.3158	0.5119	0.4604	0.333	-0.4024	-0.0634	-0.8836	1.8282	1.4038
P040	0.0084	-0.7381	0.8938	-1.4196	0.6458	-0.018	-1.0541	0.7617	-0.7455	-0.2171	-0.3086	-1.2561	0.3972	2.0144	1.0784	-0.0061
P041	-0.8323	-1.6411	-0.0105	-0.9251	0.5784	0.4941	0.73	-0.5388	0.4317	-0.0246	-0.8774	-0.7689	0.5324	0.6055	2.2139	0.0733
P042	0.686	-0.4261	0.7647	-1.4416	0.3517	-0.0998	-0.5681	1.0248	-1.5476	-0.2172	-0.3996	-1.0027	0.0924	0.1417	1.7039	1.0197
P043	-0.7351	-2.1441	0.6714	-0.7602	-0.3302	1.082	-1.0405	-0.8746	0.736	0.7754	1.7207	-0.2953	0.306	0.2309	0.2272	0.4743
P044	-1.1824	-1.0402	1.2274	0.3541	-0.2209	0.3783	-0.5324	-0.9959	-0.2964	0.2672	1.0154	-1.0542	1.137	1.8573	-0.1145	-0.7969
P045	0.6891	-0.7973	0.7354	-0.6801	-0.5912	0.014	-1.3363	0.1629	-0.8898	0.238	0.9953	-0.807	-0.3181	-0.2205	0.9418	1.9593
P046	-0.5624	-1.5538	-0.0009	-0.2889	0.2446	0.3671	0.7973	-0.7103	0.0482	0.282	-0.617	-0.8506	0.3179	-1.0713	2.6699	1.0087
P047	0.7877	-1.8589	0.7901	-1.2494	-0.2815	0.4751	-1.3109	0.0305	-0.2792	0.2619	0.7513	-0.0086	-0.2422	-0.1801	0.7144	1.6664
P048	0.6188	-0.5365	0.5792	-1.2419	0.2984	-0.1268	-0.6361	0.2405	-0.9491	0.2915	0.4763	-1.1463	0.0733	0.482	0.8609	0.7963
P049	0.5558	-1.4125	1.1297	-0.6807	0.628	0.5545	-1.5395	-1.2004	-0.2637	0.9718	1.8924	-1.0651	0.1562	0.1315	-0.0264	0.2328
P050	-0.3847	-2.0551	-0.0845	-0.903	0.1562	0.6023	0.3934	-0.542	0.6909	0.449	-0.4839	-0.9346	0.5347	-0.3016	2.0752	0.8439
P051	0.6949	-1.1198	0.254	-1.3919	0.4951	0.1284	-0.6995	-0.1204	-0.4872	0.2987	0.4009	-1.1502	-0.1933	-0.2767	2.1384	1.1262
P052	-0.6501	-1.7212	0.3157	-1.2675	-0.0647	0.8824	-0.7813	-0.0779	0.8275	0.5595	0.7673	-1.0581	0.1781	0.011	1.2028	0.9437
P053	0.4455	-2.0024	0.7544	-1.1222	0.1079	0.6902	-0.7772	-0.8269	-0.029	0.6048	0.9677	-0.4584	0.3053	-0.3923	0.9237	0.8681
P054	-0.1205	-2.1428	0.1855	-0.8093	0.2624	0.74	0.2636	-1.1792	0.4281	1.0126	0.334	-0.848	0.7435	-0.7706	1.2782	0.6831
P055	-0.4187	-1.9461	0.0547	-0.0344	0.2874	0.1616	1.016	-0.4979	-0.125	0.0779	-1.2148	-0.5176	0.4451	-0.7145	2.5602	0.9259
P056	0.4469	-0.9339	1.2354	-0.9798	-1.137	0.4255	-1.7984	-0.1393	0.0663	0.7338	1.9119	-0.7194	0.3408	0.0433	-0.3335	0.888
P057	-0.0917	-1.9811	0.495	-0.7502	0.5626	0.4109	-0.3273	-1.032	0.005	0.4638	0.2957	-0.7756	0.3958	-0.025	1.7767	0.6387
P058	0.1317	-2.2301	0.3188	-1.0616	-0.3952	0.8333	-0.4032	-1.1018	0.8214	1.0284	0.9849	-0.5025	0.4946	-0.5236	0.9361	0.7182
P059	0.6007	-2.0461	0.2007	-1.7949	1.343	0.7369	-0.691	0.4036	-0.2487	0.1928	-0.2879	-0.5075	-0.4762	-0.0152	1.4419	1.2305
P060	-1.0251	-1.1401	0.9324	1.262	-0.8487	0.0367	0.6924	-1.7985	-0.4324	0.385	0.7006	-0.4203	0.8411	0.6013	0.6017	-0.3705
P061	0.2515	-1.3246	0.3977	-1.822	-0.3705	0.4212	-1.1886	-0.1475	0.5319	0.669	1.4067	-0.7896	0.0185	0.3307	0.9758	0.7079
P062	0.0883	-1.2277	1.0202	-0.9239	0.1882	0.5709	-1.7185	-0.9248	0.1732	0.9981	2.1897	-1.1192	0.3243	0.4323	0.0116	-0.0251
P063	0.9284	-0.9236	0.6271	-1.6469	0.1555	0.1553	-1.2709	-0.207	-0.3889	0.5662	1.4268	-0.9117	-0.1001	0.0787	0.7586	0.8375
P064	0.4899	-1.1042	0.9818	-0.8418	-0.7809	0.5001	-1.2873	-0.9323	0.0634	1.1877	2.1857	-0.8686	0.4721	-0.6171	0.0043	0.6121
P065	-0.5921	-1.2281	0.2561	0.2722	1.1341	-0.1757	1.3424	-0.6792	-0.6855	0.0421	-1.5109	-0.8646	0.3977	0.0422	2.1384	0.1693
