	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
P036	-2.0193	0.2861	0.9311	0.5526	-0.5235	0.6031	0.3278	-0.0207	2.594	-1.054	-0.6186	0.3746	0.6403	-0.7215	-0.8711	-0.4982
P037	-2.0315	0.328	0.8835	0.5952	-0.4788	0.5262	0.3326	-0.0757	2.603	-1.058	-0.6426	0.3556	0.6915	-0.7019	-0.8674	-0.4773
P038	-2.0492	0.3154	0.853	0.6219	-0.5024	0.5847	0.2894	-0.054	2.6035	-1.0101	-0.6449	0.367	0.6707	-0.7286	-0.844	-0.4886
P039	-2.025	0.2815	0.9544	0.5446	-0.5606	0.6503	0.3045	-0.0116	2.5806	-1.0377	-0.6128	0.387	0.6199	-0.7296	-0.8426	-0.5201
P040	-2.0043	0.3287	0.9877	0.5459	-0.5697	0.6415	0.3144	-0.0394	2.5648	-1.0938	-0.5565	0.3665	0.6064	-0.7338	-0.8714	-0.5057
P041	-2.0415	0.2887	0.8303	0.6066	-0.5057	0.6007	0.2964	-0.0505	2.6263	-0.9974	-0.6314	0.3642	0.6655	-0.7327	-0.8486	-0.4864
P042	-2.0228	0.3441	0.8927	0.6111	-0.5435	0.5943	0.2744	-0.0595	2.6007	-1.0354	-0.5833	0.3739	0.6394	-0.7376	-0.8641	-0.5012
P043	-1.9884	0.3304	1.0226	0.5131	-0.5617	0.6109	0.3515	-0.0246	2.5582	-1.1241	-0.5708	0.3341	0.6288	-0.7223	-0.8891	-0.4885
P044	-2.0322	0.2917	0.9318	0.5766	-0.5525	0.6659	0.3024	-0.0116	2.5718	-1.0507	-0.5927	0.3751	0.6111	-0.7413	-0.854	-0.5088
P045	-2.03	0.3224	0.8153	0.6179	-0.4768	0.5654	0.3108	-0.074	2.6276	-1.0334	-0.6277	0.3724	0.6662	-0.7406	-0.856	-0.476
P046	-1.9747	0.2668	1.0788	0.5068	-0.6001	0.6423	0.3436	0.0324	2.5422	-1.1084	-0.5498	0.3881	0.5711	-0.716	-0.905	-0.5374
P047	-1.9965	0.3534	0.9572	0.5642	-0.5416	0.6037	0.3241	-0.0446	2.5758	-1.1064	-0.5699	0.346	0.6287	-0.7371	-0.8838	-0.4922
P048	-2.0448	0.338	0.8513	0.6271	-0.4975	0.5782	0.3038	-0.079	2.6057	-1.0335	-0.6126	0.3342	0.6709	-0.7224	-0.8556	-0.4807
P049	-2.0219	0.266	0.9536	0.5416	-0.5502	0.6451	0.3136	0.0164	2.5928	-1.0141	-0.635	0.3765	0.6038	-0.7261	-0.8598	-0.5189
P050	-2.0272	0.3433	0.8343	0.615	-0.4762	0.5377	0.3228	-0.0935	2.6168	-1.0524	-0.6383	0.3316	0.7119	-0.7128	-0.8561	-0.4739
P051	-2.0209	0.3325	0.876	0.6008	-0.5085	0.5891	0.3267	-0.0603	2.6078	-1.0641	-0.5811	0.3211	0.6517	-0.7342	-0.8813	-0.4726
P052	-2.0249	0.3277	0.8635	0.5976	-0.519	0.6332	0.3155	-0.0485	2.6074	-1.0535	-0.5784	0.3151	0.6405	-0.7495	-0.8676	-0.4761
P053	-2.0107	0.3551	0.8792	0.6106	-0.4714	0.5286	0.3385	-0.0755	2.6006	-1.0915	-0.6079	0.3562	0.6591	-0.7349	-0.8997	-0.4543
P054	-2.0152	0.3084	0.9548	0.5848	-0.5513	0.5847	0.2926	-0.0322	2.5757	-1.0527	-0.6151	0.4063	0.6458	-0.707	-0.8622	-0.5349
P055	-2.0679	0.2537	0.8476	0.5887	-0.4947	0.5768	0.3094	-0.0381	2.6226	-0.9636	-0.6817	0.3561	0.6907	-0.7014	-0.8405	-0.4733
P056	-2.0261	0.3142	0.8188	0.6473	-0.5044	0.5453	0.2981	-0.0572	2.6381	-1.0072	-0.5957	0.35	0.6636	-0.7267	-0.8798	-0.494
P057	-2.0135	0.2713	1.011	0.5791	-0.5929	0.554	0.26	-0.0089	2.5708	-1.0089	-0.6184	0.4841	0.6195	-0.6751	-0.8446	-0.6042
P058	-2.0148	0.333	0.9781	0.5595	-0.5544	0.5977	0.2863	-0.022	2.5631	-1.0583	-0.6273	0.397	0.6415	-0.7263	-0.8688	-0.5024
P059	-1.9905	0.3642	1.0116	0.5577	-0.5669	0.5899	0.3029	-0.0452	2.5481	-1.1161	-0.5809	0.3863	0.6347	-0.721	-0.872	-0.5222
P060	-1.9632	0.3469	0.9449	0.5567	-0.5249	0.6112	0.3652	-0.042	2.5864	-1.1536	-0.5409	0.338	0.6033	-0.7587	-0.9011	-0.4877
P061	-2.0083	0.3195	0.9673	0.5572	-0.557	0.6334	0.3119	-0.0231	2.5722	-1.0766	-0.5855	0.3737	0.6113	-0.7363	-0.8658	-0.5119
P062	-1.985	0.3182	1.0076	0.5275	-0.5534	0.6006	0.345	-0.014	2.5742	-1.0977	-0.5866	0.3501	0.6144	-0.722	-0.9004	-0.4974
P063	-2.0127	0.3027	0.8704	0.6206	-0.5238	0.3477	0.2332	-0.1371	2.6402	-0.9412	-0.7243	0.5298	0.7779	-0.6211	-0.7842	-0.5927
P064	-2.0399	0.3564	0.8049	0.6706	-0.4808	0.5264	0.2876	-0.099	2.6181	-1.0224	-0.6235	0.3502	0.6955	-0.7241	-0.8594	-0.4768
