Target ID	Target name	TF list
ENSG00000164442	CITED2	ENSG00000126767;ENSG00000136931;
ENSG00000123416	TUBA1B	ENSG00000186951;ENSG00000069667;
ENSG00000258947	TUBB3	ENSG00000100644;ENSG00000084093;ENSG00000084093;ENSG00000176887;ENSG00000181449;
ENSG00000106100	NOD1	ENSG00000144852;
ENSG00000156575	PRG3	ENSG00000141510;
ENSG00000104419	NDRG1	ENSG00000169083;ENSG00000134954;ENSG00000187140;ENSG00000136997;ENSG00000136997;ENSG00000134323;ENSG00000134323;ENSG00000134323;
ENSG00000101335	MYL9	ENSG00000159216;ENSG00000112658;
ENSG00000131788	PIAS3	ENSG00000168610;ENSG00000141510;
ENSG00000080986	NDC80	ENSG00000128272;ENSG00000118260;
ENSG00000101443	WFDC2	ENSG00000147862;
ENSG00000142089	IFITM3	ENSG00000136826;
ENSG00000165556	CDX2	ENSG00000107485;ENSG00000136826;ENSG00000111704;ENSG00000143190;ENSG00000204531;
ENSG00000143575	HAX1	ENSG00000109320;
ENSG00000136235	GPNMB	ENSG00000187098;ENSG00000141510;
ENSG00000134363	FST	ENSG00000074047;ENSG00000166949;ENSG00000196628;
ENSG00000105388	CEACAM5	ENSG00000158773;ENSG00000105698;
ENSG00000149100	EIF3M	ENSG00000152977;
ENSG00000159184	HOXB13	ENSG00000100811;
ENSG00000107175	CREB3	ENSG00000109320;ENSG00000173039;
ENSG00000142453	CARM1	ENSG00000109320;ENSG00000173039;ENSG00000141510;
ENSG00000185736	ADARB2	ENSG00000116560;
ENSG00000245848	CEBPA	ENSG00000175197;ENSG00000102145;ENSG00000138795;ENSG00000118513;ENSG00000136997;ENSG00000136997;ENSG00000132170;ENSG00000109906;
ENSG00000172216	CEBPB	ENSG00000128272;ENSG00000091831;
ENSG00000172977	KAT5	ENSG00000115966;ENSG00000134852;
ENSG00000149428	HYOU1	ENSG00000150907;
ENSG00000205339	IPO7	ENSG00000136997;ENSG00000141510;
ENSG00000092067	CEBPE	ENSG00000115415;
ENSG00000197548	ATG7	ENSG00000185122;
ENSG00000106541	AGR2	ENSG00000129514;ENSG00000125798;ENSG00000124664;
ENSG00000170835	CEL	ENSG00000168267;ENSG00000126561;ENSG00000173757;
ENSG00000117479	SLC19A2	ENSG00000185591;
ENSG00000102837	OLFM4	ENSG00000109320;ENSG00000173039;
ENSG00000157765	SLC34A2	ENSG00000141905;
ENSG00000184990	SIVA1	ENSG00000101412;ENSG00000101412;ENSG00000141510;ENSG00000141510;
ENSG00000115523	GNLY	ENSG00000172216;
ENSG00000265972	TXNIP	ENSG00000150907;ENSG00000118689;ENSG00000067082;ENSG00000009950;ENSG00000186951;ENSG00000132170;
ENSG00000133110	POSTN	ENSG00000113722;ENSG00000233608;ENSG00000100811;
ENSG00000243709	LEFTY1	ENSG00000204531;
ENSG00000159217	IGF2BP1	ENSG00000136997;
ENSG00000073792	IGF2BP2	ENSG00000149948;ENSG00000109320;ENSG00000173039;
ENSG00000198848	CES1	ENSG00000185591;
ENSG00000105610	KLF1	ENSG00000102145;ENSG00000118513;
ENSG00000102974	CTCF	ENSG00000160973;ENSG00000109320;ENSG00000184937;ENSG00000100811;
ENSG00000102524	TNFSF13B	ENSG00000109320;ENSG00000115415;
ENSG00000087237	CETP	ENSG00000025434;ENSG00000116833;ENSG00000186951;ENSG00000185591;ENSG00000185591;ENSG00000172845;ENSG00000172845;ENSG00000072310;ENSG00000100811;
