	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
P036	-0.2441	0.8615	-1.0062	-0.5141	1.2816	0.3317	1.4131	-0.8892	-1.0815	0.5606	-1.6615	1.5858	-1.036	-0.6995	0.4195	0.7362
P037	-0.7339	-1.0368	1.0822	0.4772	0.0577	0.7438	-1.3642	0.3314	-0.0363	0.4891	1.3871	-1.2201	0.3161	-0.2664	-0.4666	0.215
P038	-1.0708	-0.9179	1.0713	1.0073	-0.7964	0.4737	-1.5271	0.5809	0.0824	0.3934	1.7132	-1.6007	0.8337	0.6118	-0.6794	-0.2134
P039	-0.2834	1.0345	-1.0693	-0.4287	1.2694	0.1902	1.3207	-0.9738	-1.0664	0.522	-1.6144	1.6819	-1.046	-0.7624	0.555	0.73
P040	-0.2134	0.6202	-0.7669	-0.696	1.1898	0.6436	1.6665	-0.789	-0.9825	0.0468	-1.2535	1.5028	-1.2752	-0.7875	0.7071	0.4449
P041	-0.867	0.6094	-0.3648	1.0347	-0.3686	0.5572	-0.713	0.9347	-0.921	1.2424	-0.2477	-0.219	0.0932	-0.3311	-0.7073	0.2493
P042	-1.0782	-1.0758	1.1466	0.7721	-0.4792	0.5126	-1.3087	0.5154	0.0731	0.4018	1.7049	-1.772	0.894	0.4672	-0.6969	-0.1081
P043	-0.3245	1.3551	-1.2576	-0.0873	1.1067	0.1452	1.1909	-0.8277	-1.2218	0.6112	-1.6131	1.557	-0.9194	-0.7909	0.3613	0.7681
P044	-0.2607	1.0253	-1.0739	-0.4135	1.2863	0.2328	1.3013	-0.9624	-1.0768	0.5169	-1.6029	1.6945	-1.0556	-0.7917	0.5055	0.7337
P045	-0.3056	1.0629	-0.9105	-0.4173	1.2508	0.3349	1.5076	-0.9968	-1.1023	0.189	-1.4868	1.4865	-1.1616	-0.714	0.5954	0.7265
P046	-0.2274	0.1168	-0.4858	-0.4875	1.4837	0.477	1.2459	-0.6744	-0.9744	0.4988	-1.2354	1.2378	-1.259	-0.9461	0.5235	0.7598
P047	-0.8869	-0.6825	-0.2402	0.0793	1.2714	0.0246	-0.1949	-0.0513	-0.9293	1.9378	-1.0304	-0.1037	0.2039	-0.4669	0.0003	1.09
P048	-1.289	-1.1244	0.7562	0.7867	-0.6029	0.5038	-0.9196	0.6656	-0.2199	0.4586	1.6193	-1.507	0.7469	0.4981	-0.1554	-0.2408
P049	-0.1305	1.2609	-0.8941	0.0144	0.9744	0.5215	1.0688	-0.6372	-1.1251	0.1816	-1.1786	1.381	-1.2822	-0.951	0.2347	0.6039
P050	-0.7082	0.1056	1.2783	0.0719	-0.3041	1.1656	0.5156	-0.1389	-0.6852	-1.2529	1.3243	-0.3936	-0.635	-0.0328	-0.0698	-0.2405
P051	-0.1609	0.9497	-1.0508	-0.4834	1.2114	0.2931	1.3838	-0.9678	-0.9112	0.3583	-1.6293	1.5959	-1.1009	-0.7855	0.6822	0.6724
P052	-0.5612	0.7216	-1.2733	0.7582	-0.5837	0.7302	0.0283	0.9098	-0.8415	1.2452	-0.8073	0.1954	0.228	-0.5952	-0.0759	-0.0886
P053	-0.306	1.2618	-0.7566	-0.2505	0.7467	0.4842	1.2454	-0.6116	-1.2014	0.1662	-1.2444	1.2062	-0.8672	-0.6739	0.2918	0.55
P054	-0.385	1.7107	-1.275	0.0218	0.7085	0.2401	1.2009	-0.8092	-1.1548	0.2152	-1.503	1.4512	-0.8685	-0.6632	0.6008	0.555
P055	-0.3165	-0.1624	-0.5749	-0.0373	0.6095	0.5365	0.8622	-0.1321	-1.1043	0.7981	-1.0243	0.6127	-0.4969	-0.6219	0.5308	0.545
P056	-0.24	1.2009	-1.0727	-0.4161	1.137	0.3618	1.3777	-0.97	-1.0508	0.2939	-1.5234	1.6604	-1.1538	-0.7705	0.6031	0.619
P057	-0.3189	1.1384	-1.1301	-0.2567	1.1516	0.1	1.0883	-0.8618	-1.0832	0.7748	-1.7569	1.5238	-0.7645	-0.7404	0.3107	0.8776
P058	-0.0689	1.0405	-0.961	-0.406	1.127	0.2399	1.3526	-1.0287	-0.7772	0.1843	-1.5898	1.4378	-1.163	-0.8683	0.8352	0.699
P059	-0.2289	1.353	-1.2927	0.0153	1.1042	0.0242	1.0455	-0.7769	-1.0749	0.7285	-1.637	1.4403	-0.9164	-0.9326	0.3637	0.8356
P060	-0.205	1.0417	-1.0978	-0.4926	1.1963	0.2844	1.3443	-1.0119	-0.9286	0.4023	-1.6139	1.6889	-1.0762	-0.8036	0.6882	0.6416
P061	-0.1497	-0.1342	0.0996	-0.7617	1.4851	0.4052	0.7515	-1.413	-0.616	0.2437	-1.3239	1.1536	-0.7482	-0.9084	1.0501	0.9093
P062	-1.0007	-1.487	1.0018	0.3822	0.4003	0.6692	-0.9656	0.5655	-0.3656	0.9711	1.1992	-1.4863	0.5726	-0.005	-0.8887	0.4232
P063	-0.4364	0.1583	-0.6893	-0.4952	1.582	0.138	1.0962	-0.7052	-1.0431	1.2933	-1.735	0.9517	-0.5681	-0.7613	0.2531	1.0144
P064	-0.2551	1.5262	-1.3237	-0.1274	0.8742	0.2398	1.26	-0.8016	-1.0744	0.5102	-1.6103	1.5287	-0.9732	-0.7925	0.4598	0.6099
P065	-0.7822	-1.4392	1.2431	0.3727	-0.0043	0.812	-1.0076	0.4071	0.2438	0.2181	1.8094	-1.8634	0.7615	0.0267	-0.7932	-0.0268
P066	-0.2654	1.0557	-1.0896	-0.4292	1.2635	0.2027	1.3083	-0.9766	-1.0513	0.4942	-1.5955	1.6996	-1.0456	-0.7983	0.5718	0.715
P067	-0.2812	1.1678	-1.1108	-0.351	1.1527	0.2439	1.2854	-0.9655	-1.0674	0.4235	-1.6142	1.6624	-1.02	-0.737	0.5465	0.7211
P068	-0.2579	1.1254	-0.5909	-0.4788	0.3975	1.1996	1.6852	-0.2179	-1.2849	-0.2787	-0.8169	0.8684	-0.8224	-0.6717	0.0066	0.17
P069	-0.6223	-0.8159	0.2843	-0.2735	0.0817	0.6339	-0.5073	-0.0089	-0.0419	0.9151	-0.087	-1.0603	1.1196	-0.3632	0.4398	0.2917
P070	-0.4019	1.6733	-0.6569	0.627	-0.3516	0.8535	0.7495	0.0933	-1.218	-0.1562	-0.3676	0.7781	-0.9428	-0.6402	0.1041	-0.1347
P071	-0.3138	0.9314	-0.9797	-0.4016	1.2929	0.1703	1.1877	-0.883	-1.0656	0.715	-1.6729	1.5907	-0.9699	-0.7322	0.3531	0.8344
P072	-0.3343	1.0433	-1.108	-0.2718	1.2846	0.1433	1.2759	-0.9242	-1.1168	0.5749	-1.6747	1.4991	-0.8852	-0.7519	0.4628	0.8399
P073	-0.4243	1.4094	-1.4531	0.424	0.3979	0.0828	0.4745	0.1655	-0.9651	1.3777	-1.5759	0.9986	-0.5856	-0.8476	-0.0179	0.5658
P074	-0.2926	0.5074	-0.6437	-0.689	1.3439	0.3549	1.3433	-0.8916	-0.9834	0.6142	-1.5874	1.3973	-0.9613	-0.7419	0.4811	0.8052
P075	-0.3541	0.8413	-1.0571	-0.4592	1.2474	0.102	1.2953	-0.9792	-1.0321	0.7174	-1.7731	1.6337	-0.8407	-0.6481	0.5651	0.8005
P076	-0.314	1.1817	-1.1125	-0.3795	1.096	0.3191	1.4806	-0.9304	-1.0726	0.1825	-1.5485	1.4807	-0.9548	-0.6703	0.6991	0.5982
P077	-0.7135	0.4	0.669	1.2747	-1.3365	0.9302	-0.8952	0.8494	-0.1579	-0.2836	1.4734	-0.9959	-0.0946	-0.0058	-0.4238	-0.7311
P078	-0.8248	-1.5	1.2382	0.2297	-0.2288	0.9227	-0.8858	0.3699	0.097	0.2705	1.8047	-1.4477	0.5401	0.0185	-0.5741	-0.0498
P079	-0.6342	0.9232	-0.3185	1.4053	-0.801	1.0364	-0.8283	1.0931	-0.7954	0.612	0.474	0.067	-0.6055	-0.7044	-0.6434	-0.3078
P080	-0.4692	0.0801	-0.4533	0.1392	1.2123	0.4962	0.7525	-0.5017	-1.1299	0.6986	-0.8697	0.9327	-1.0358	-0.9918	0.4936	0.6849
P081	0.0921	1.1432	-0.3279	-0.5576	0.5064	0.8667	1.4109	-0.9909	-0.4004	-0.9778	-0.8119	1.2208	-1.4652	-0.9404	1.2323	0.0369
P082	-0.3746	0.7876	-0.9321	-0.3097	1.5082	0.1441	1.0321	-0.8402	-1.1011	0.82	-1.6188	1.5102	-0.9297	-0.8295	0.2801	0.9102
P083	-1.0036	-1.3483	1.0516	-0.0407	-0.0613	0.8862	-0.2443	0.1855	-0.1411	0.4241	1.3825	-1.4741	0.7402	-0.1369	-0.2095	-0.0174
P084	-0.6259	-1.5127	0.7254	-0.092	1.4257	0.7862	-0.1331	0.0812	-0.8437	1.5324	0.3108	-0.6706	-0.2503	-0.8319	-0.7912	0.9072
P085	-0.3409	0.9643	-0.9226	0.2224	0.9125	0.0383	0.7596	-0.4503	-1.1532	1.0987	-1.6194	0.9649	-0.6981	-0.8211	0.0521	1.0299
P086	-0.6814	-1.2893	1.1947	0.6545	-0.4944	0.7057	-1.5934	0.3932	0.3147	0.1687	1.9926	-1.1708	0.2147	-0.0151	-0.3262	-0.0997
P087	-0.648	1.3208	0.084	-0.379	0.0882	0.623	1.6169	-0.8887	-1.0541	-0.8856	-0.4636	0.7859	-0.8964	-0.2827	0.9719	0.0428
P088	-0.2617	0.8486	-1.0835	-0.4076	1.0186	0.4597	1.5283	-0.5829	-1.1299	0.5836	-1.591	1.131	-0.7104	-0.8017	0.4093	0.6388
P089	-0.3636	1.3889	-0.8618	-0.1614	0.8868	0.424	1.4133	-0.8486	-1.2619	0.0248	-1.2853	1.3473	-1.0619	-0.6321	0.4707	0.5695
P090	-0.3495	0.9061	-1.2123	-0.1593	1.3137	0.0978	1.1997	-0.6851	-1.1613	0.8247	-1.7301	1.3746	-0.8027	-0.7332	0.3368	0.8343
P091	-0.2258	1.1313	-1.0585	-0.382	1.1226	0.3195	1.2896	-0.9707	-1.0313	0.42	-1.588	1.6643	-1.0702	-0.7852	0.517	0.7024
P092	-0.2212	-0.7369	0.1416	-0.9769	1.1104	0.8365	1.0935	-0.9568	-0.5974	0.2239	-0.7696	0.9419	-0.7269	-0.8895	1.0453	0.5231
P093	-0.2488	1.2579	-1.5434	0.0734	0.8478	0.1621	1.1812	-0.674	-0.9593	0.3841	-1.6861	1.2936	-0.5783	-0.8506	0.7793	0.6055
P094	-0.238	0.9769	-0.6403	-0.431	1.0225	0.3745	1.3979	-0.9861	-0.8813	-0.0197	-1.3645	1.1653	-0.9798	-0.8006	0.8668	0.5859
P095	-0.2952	1.0608	-1.099	-0.3845	1.2787	0.1687	1.2714	-0.9607	-1.0933	0.5379	-1.5937	1.6997	-1.015	-0.7907	0.5381	0.7361
P096	-1.1987	-0.7904	1.0303	0.9848	-0.4809	0.411	-1.6196	0.7737	0.0112	0.4023	1.7785	-1.5845	0.8203	0.5129	-0.8573	-0.2276
P097	-0.2864	1.3971	-1.3004	-0.1129	1.0675	0.2032	1.2099	-0.8255	-1.1108	0.4571	-1.568	1.5633	-0.9801	-0.8222	0.4938	0.6672
P098	-0.2709	1.295	-1.2648	-0.2026	1.1526	0.1744	1.2604	-0.8477	-1.1078	0.5625	-1.6238	1.5587	-0.9651	-0.8243	0.4397	0.719
P099	-0.2464	1.1782	-1.1919	-0.3368	1.112	0.1113	1.2599	-0.9351	-0.942	0.5469	-1.6999	1.5655	-0.9313	-0.792	0.5978	0.7597
