	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
150558	-1.1136	0.0982	0.6011	-0.8882	1.5403	0.0441	0.4621	-1.6586	0.8508	0.6175	-1.5333	0.5107	1.3736	0.4306	0.0858	-1.4636
150561	-1.0935	-0.287	0.6438	-0.9304	1.4105	-0.0933	0.8789	-1.3335	1.4075	0.2657	-1.8468	0.5071	1.1706	0.7997	-0.5605	-0.9668
150635	-1.4941	-0.2437	0.813	-0.8535	1.5582	0.0614	0.8148	-1.5402	1.2493	0.2985	-1.4125	0.3356	1.0736	0.7534	-0.331	-1.1164
150913	-1.4761	-0.1896	0.6588	-0.9003	1.4096	0.0625	1.0214	-1.5483	1.4614	0.2047	-1.3441	0.4232	0.9215	0.9155	-0.5493	-1.1056
150921	-1.3233	0.0398	0.4912	-0.7265	1.4773	0.0881	0.6519	-2.1312	1.1458	0.4506	-1.0218	0.4034	1.1407	0.7593	-0.0557	-1.4315
151092	-1.4236	0.0824	0.912	-0.9551	1.4587	-0.1665	0.4855	-1.656	0.439	0.771	-1.452	0.5136	1.4463	0.4287	0.4493	-1.3814
160086	-0.8809	-0.0374	0.5455	-0.8646	1.4496	0.011	0.7934	-1.709	1.0877	0.4452	-1.5634	0.5351	1.2238	0.7068	-0.3001	-1.4813
160626	-1.0852	-0.1286	0.521	-0.8682	1.3438	0.1154	0.9219	-1.7583	1.3618	0.3768	-1.3831	0.5417	1.0442	0.7711	-0.4639	-1.3504
160642	-1.1637	-0.1484	0.665	-0.8934	1.3776	0.0544	0.8739	-1.6432	1.3373	0.3505	-1.505	0.4088	1.0689	0.8798	-0.4747	-1.2236
160662	-1.0762	-0.0154	0.6295	-0.9518	1.4016	-0.0861	0.6459	-1.7417	1.1239	0.3742	-1.5217	0.3674	1.4022	0.7677	-0.0534	-1.3026
160725	-1.1975	0.1389	0.713	-0.6525	1.6459	0.0424	0.7077	-1.8509	0.7933	0.4302	-1.2664	0.3846	1.1534	0.6013	-0.0557	-1.6289
160730	-1.1735	-0.169	0.5831	-0.81	1.484	0.094	0.8635	-1.7797	1.1486	0.5158	-1.3284	0.5316	1.0244	0.7224	-0.3377	-1.4096
160767	-1.1385	0.2037	0.8649	-1.1047	1.2895	-0.1453	0.6592	-1.7214	0.5783	0.7143	-1.58	0.5253	1.3372	0.5896	0.3354	-1.4611
160772	-1.1625	-0.1329	0.5601	-0.8982	1.3235	0.1184	0.9163	-1.7223	1.3944	0.3328	-1.3774	0.5807	1.0031	0.8006	-0.4616	-1.3159
160774	-1.702	-0.3932	0.7932	-0.8404	1.5405	0.0502	0.9886	-1.2247	1.4109	0.1731	-1.4855	0.3943	0.9479	0.798	-0.6716	-0.8048
160777	-0.914	0.0628	0.6782	-0.7252	1.5593	0.0218	0.752	-1.782	0.929	0.46	-1.645	0.3796	1.2081	0.5043	-0.0132	-1.5181
160792	-1.1664	-0.0132	0.6676	-1.0289	1.45	-0.2086	0.5983	-1.6079	0.9875	0.4734	-1.6179	0.2761	1.4881	0.6546	0.2211	-1.2106
160939	-1.285	-0.0494	0.6345	-0.7841	1.4854	0.1758	0.9358	-1.7067	1.4279	0.2126	-1.3843	0.3702	0.8689	0.8445	-0.4262	-1.3597
161152	-1.2699	-0.1878	0.6585	-0.8608	1.5309	-0.0211	0.6717	-1.575	1.2824	0.4223	-1.5519	0.2499	1.2486	0.7661	-0.2436	-1.1517
161264	-1.1897	-0.1842	0.5889	-0.7401	1.4923	0.1811	0.8081	-1.8674	1.1921	0.5169	-1.3951	0.5287	0.9867	0.6211	-0.2455	-1.3373
161286	-1.2204	-0.0613	0.6441	-0.8442	1.4002	0.1322	0.7731	-1.7897	1.2585	0.3715	-1.3332	0.4144	1.055	0.8533	-0.333	-1.3602
161385	-0.9888	-0.0188	0.61	-0.7426	1.5331	-0.0881	0.8001	-1.8241	0.9645	0.577	-1.6066	0.3907	1.1868	0.5674	-0.0188	-1.3831
161424	-1.6869	-0.2373	0.8912	-0.8144	1.4722	0.0309	0.8203	-1.6662	1.1294	0.4586	-1.2339	0.2744	1.0787	0.8056	-0.3507	-1.0065
170012	-0.9361	0.0202	0.7269	-1.1124	1.3456	-0.035	0.599	-1.4661	1.0036	0.4382	-1.742	0.6017	1.3988	0.7021	-0.1908	-1.3936
170050	-1.4366	0.0833	0.9741	-1.0223	1.3687	-0.0741	0.5519	-1.5824	0.5827	0.7491	-1.576	0.5102	1.3561	0.5582	0.2453	-1.3382
170077	-1.0738	0.303	0.7579	-1.0193	1.4453	-0.0919	0.5076	-1.6069	0.6346	0.5875	-1.5365	0.5423	1.4191	0.4968	0.2091	-1.6224
170172	-0.7045	0.1141	0.5866	-0.6875	1.6255	-0.0265	0.6525	-1.7	0.8969	0.4569	-1.7338	0.5032	1.2373	0.3639	0.0706	-1.6976
170319	-1.2563	-0.0548	0.6165	-0.634	1.5794	0.1141	0.6976	-1.8306	1.1413	0.5083	-1.4268	0.359	1.1078	0.551	-0.164	-1.3483
170393	-0.9237	0.2486	0.6933	-1.0024	1.3223	0.0051	0.561	-1.5768	0.8114	0.6193	-1.8414	0.6633	1.2808	0.4981	0.1734	-1.5854
170412	-1.1243	-0.1306	0.5194	-0.814	1.5217	-0.0592	0.7777	-1.5879	1.2883	0.4338	-1.6444	0.3857	1.2204	0.6768	-0.3273	-1.1685
170483	-1.2279	-0.0994	0.5223	-0.8409	1.4687	0.0154	0.622	-1.9394	0.9997	0.5884	-1.2154	0.465	1.3218	0.6041	0.017	-1.3415
170509	-0.814	0.0485	0.6393	-0.8521	1.411	0.0363	0.681	-1.7419	1.0025	0.5788	-1.7272	0.4482	1.1789	0.6474	-0.0456	-1.5365
170718	-1.624	-0.3008	0.7118	-0.8501	1.5626	0.122	0.893	-1.464	1.3649	0.2259	-1.3392	0.3987	1.0312	0.7441	-0.4647	-1.0429
170739	-1.507	-0.1412	0.8508	-0.7347	1.6227	0.0794	0.8296	-1.5738	1.0214	0.419	-1.4368	0.3951	1.0351	0.6165	-0.3301	-1.1825
170857	-1.5019	-0.2265	0.7675	-0.9399	1.3877	0.1027	0.9048	-1.5129	1.4356	0.1715	-1.3234	0.4231	0.9896	0.936	-0.5208	-1.1274
171209	-1.21	-0.1099	0.6332	-0.8097	1.5463	0.0451	0.6954	-1.7464	1.1292	0.4351	-1.4448	0.3766	1.2364	0.6398	-0.157	-1.2962
171236	-1.3481	-0.0389	0.7241	-0.8646	1.4102	0.1452	0.8205	-1.7063	1.3107	0.2315	-1.2512	0.4284	0.9985	0.9199	-0.4093	-1.4102
171322	-1.0842	-0.0737	0.6311	-0.8256	1.4271	-0.0508	0.8075	-1.6046	1.1657	0.5658	-1.7218	0.4655	1.134	0.7047	-0.3412	-1.2378
171345	-1.1697	0.156	0.8254	-0.8848	1.5057	-0.0222	0.679	-1.6354	0.7634	0.5953	-1.684	0.5093	1.2232	0.4995	-0.0321	-1.3744
171405	-1.2218	0.1197	0.8244	-0.657	1.6548	0.0385	0.7001	-1.8197	0.6493	0.6916	-1.5223	0.3549	1.0983	0.3889	0.1112	-1.458
171418	-1.1167	0.0965	0.6528	-1.0388	1.2691	-0.1043	0.6711	-1.8908	0.9649	0.4772	-1.3911	0.4401	1.3865	0.7694	0.0878	-1.3174
171477	-0.7817	0.2361	0.7559	-0.9879	1.4436	-0.0261	0.5705	-1.4278	0.6441	0.5196	-1.8973	0.7414	1.3312	0.5026	-0.0091	-1.6618
171574	-1.0125	-0.0571	0.5399	-0.9503	1.4129	0.0719	0.6207	-1.7169	1.223	0.3187	-1.4288	0.5138	1.3207	0.759	-0.2109	-1.4412
171608	-0.9323	-0.0552	0.5392	-0.84	1.5567	0.0208	0.7932	-1.6297	1.0542	0.4017	-1.5562	0.5277	1.2523	0.6353	-0.3318	-1.4713
180099	-1.1386	0.1426	0.8807	-0.9405	1.3952	-0.0656	0.6497	-1.5894	0.6077	0.7392	-1.8337	0.5679	1.2428	0.4975	0.2399	-1.4485
180299	-0.8967	0.0208	0.5082	-0.8811	1.4889	-0.1081	0.6482	-1.6881	1.0051	0.5199	-1.659	0.4843	1.3885	0.5752	-0.019	-1.4252
